=== VitaSuwayomi Perf Log ===
FPS | Frame(ms) | Max(ms) | TexUp | Pending | Sections...
-----------------------------------------------------------
FPS:34 Frame:23.2ms Max:23.2ms TexUp:0 Pend:0 | grid_draw:9.6ms
FPS:45 Frame:20.5ms Max:22.5ms TexUp:0 Pend:0 | grid_draw:8.8ms
FPS:10 Frame:23.5ms Max:35.1ms TexUp:0 Pend:0 | grid_draw:11.3ms
FPS:43 Frame:23.1ms Max:0.0ms TexUp:0 Pend:0 | grid_draw:11.0ms
FPS:27 Frame:30.0ms Max:30.0ms TexUp:0 Pend:0 | grid_draw:18.2ms
FPS:30 Frame:34.0ms Max:34.3ms TexUp:0 Pend:0 | grid_draw:20.0ms
FPS:32 Frame:30.2ms Max:30.5ms TexUp:0 Pend:0 | grid_draw:18.4ms
FPS:33 Frame:30.2ms Max:30.3ms TexUp:0 Pend:0 | grid_draw:18.4ms
FPS:33 Frame:30.2ms Max:30.3ms TexUp:0 Pend:0 | grid_draw:18.4ms
FPS:33 Frame:30.0ms Max:30.2ms TexUp:0 Pend:0 | grid_draw:18.4ms
FPS:32 Frame:31.8ms Max:40.3ms TexUp:0 Pend:0 | grid_draw:18.9ms
FPS:32 Frame:30.2ms Max:30.4ms TexUp:0 Pend:0 | grid_draw:18.6ms
FPS:33 Frame:30.3ms Max:39.4ms TexUp:0 Pend:0 | grid_draw:18.7ms
FPS:32 Frame:32.9ms Max:41.4ms TexUp:0 Pend:0 | grid_draw:20.3ms
FPS:31 Frame:32.9ms Max:32.9ms TexUp:0 Pend:0 | grid_draw:20.4ms
FPS:31 Frame:32.8ms Max:32.9ms TexUp:0 Pend:0 | grid_draw:20.3ms
FPS:31 Frame:32.6ms Max:32.9ms TexUp:0 Pend:0 | grid_draw:20.2ms
FPS:31 Frame:32.9ms Max:32.9ms TexUp:0 Pend:0 | grid_draw:20.3ms
FPS:31 Frame:32.9ms Max:32.9ms TexUp:0 Pend:0 | grid_draw:20.2ms
FPS:31 Frame:32.7ms Max:32.7ms TexUp:0 Pend:0 | grid_draw:20.2ms
FPS:31 Frame:32.4ms Max:32.8ms TexUp:0 Pend:0 | grid_draw:20.2ms
FPS:31 Frame:32.7ms Max:32.8ms TexUp:0 Pend:0 | grid_draw:20.1ms
FPS:31 Frame:32.6ms Max:32.6ms TexUp:0 Pend:0 | grid_draw:20.2ms
FPS:31 Frame:33.0ms Max:0.0ms TexUp:0 Pend:0 | grid_draw:20.2ms
FPS:30 Frame:32.9ms Max:32.9ms TexUp:0 Pend:0 | grid_draw:20.2ms
FPS:31 Frame:32.8ms Max:32.9ms TexUp:0 Pend:0 | grid_draw:20.2ms
FPS:31 Frame:32.8ms Max:32.9ms TexUp:0 Pend:0 | grid_draw:20.3ms
FPS:31 Frame:32.6ms Max:33.0ms TexUp:0 Pend:0 | grid_draw:20.2ms
FPS:31 Frame:32.6ms Max:32.9ms TexUp:0 Pend:0 | grid_draw:20.0ms
FPS:31 Frame:32.8ms Max:33.0ms TexUp:0 Pend:0 | grid_draw:20.3ms
FPS:31 Frame:32.7ms Max:32.8ms TexUp:0 Pend:0 | grid_draw:20.3ms
FPS:31 Frame:32.7ms Max:32.8ms TexUp:0 Pend:0 | grid_draw:20.2ms
FPS:31 Frame:33.0ms Max:33.0ms TexUp:0 Pend:0 | grid_draw:20.2ms
